City,geom,Incoming,Outgoing,Risk,id
Bluffton,0101000020E6100000B9BC8742F6CE57C07496CA701B3C4740,0,0,0.00035375687822150923,1
Sartell,0101000020E6100000E08E21C2608E57C01886B51C2DCF4640,0,0,0.0019555023938844633,2
Sartell,0101000020E610000080C3EE83158C57C0DF8E01C16ECF4640,0,0,0.0019555023938844633,3
Cambridge,0101000020E610000087E5FA1F964E57C0E4CD0F9ADCC74640,3,5,0.0004390595304106212,4
Waseca,0101000020E6100000B829979E3F6057C02AA92922830A4640,3,3,0.00040157631384157876,5
La Crescent,0101000020E61000003D6612B174D356C054BF096F18EA4540,0,0,0.0006504368850081355,6
La Crescent,0101000020E61000000EC0E7D602D456C01E24ABC0E6EC4540,0,0,0.0006504368850081355,7
Waconia,0101000020E6100000F7235D40947257C0BBB0F922B36B4640,6,8,0.0012246587964837448,8
Aitkin,0101000020E6100000A7D63EB72B6D57C06699FDFE57434740,0,0,0.0001698157391650873,9
Hopkins,0101000020E6100000915FFD12F55957C0BA0C704587764640,29,31,0.003615028548340423,10
Morristown,0101000020E6100000915651EC795C57C081D57A6CB21C4640,2,0,0.0004490410316923378,11
Madison Lake,0101000020E6100000F0978B18557457C0236528DD811A4640,7,7,0.000789333201595755,12
Cobden,0101000020E610000030DE8C0A2CB657C0959419BB29244640,2,2,0.00048391799884652274,13
Evan,0101000020E61000009B7B575E83B557C01AABE43F702D4640,0,0,0.0004970167986785154,14
Lanesboro,0101000020E6100000A687E0F419FE56C09B65099589DB4540,0,0,0.0006584172837738821,15
Isle,0101000020E6100000266F7CC4625D57C01E8E353EC1114740,0,0,0.0002224478360532937,16
Cohasset,0101000020E6100000BCB070D5FE6857C0DB7188DFB69E4740,0,0,0.00022144088711081563,17
Crosby,0101000020E61000008A4396FE437D57C031DF4403A13E4740,0,0,0.0014534014551585706,18
Ceylon,0101000020E61000003EC137C55EA857C03A5CA92528C44540,0,0,0.0002213550203208324,19
Carver,0101000020E61000008CB45A0E756857C023DE62AA60614640,9,14,0.0011868205967940373,20
Milaca,0101000020E610000050B79CB19C6957C000E2FA7FCCE04640,3,4,0.000604106378848304,21
Roseau,0101000020E610000053673E2CC6F057C0730A4ECD176C4840,0,0,4.021772988401625e-05,22
Tyler,0101000020E61000007F983E11920858C02E51844054234640,0,0,0.000304257763078412,23
Bingham Lake,0101000020E6100000AABDFADDF2C257C0E8C533AD69F44540,0,0,0.0003820954523010872,24
Nielsville,0101000020E6100000D066BD5A313458C0EF7F63D0BCC34740,0,0,0.0003011667523608881,25
Mapleton,0101000020E61000007EF5C5BC177D57C06AB72C868DF64540,0,0,0.0004969740053132138,26
Hanover,0101000020E6100000F25960050A6B57C0798EAF907A944640,32,26,0.0035337109784883652,27
Hanover,0101000020E6100000F235D884766957C00B20B878D2934640,32,26,0.0035337109784883652,28
Pine Island,0101000020E6100000A96A4FFA442557C0D48467FA04184640,1,7,0.0011860886076505567,29
Pine Island,0101000020E61000004B0DD099372957C01A89F131241A4640,1,7,0.0011860886076505567,30
Bemidji,0101000020E610000004E6154A65B857C079C80DB082BE4740,0,0,0.0001530851785684153,31
Maple Lake,0101000020E610000085C0B379668057C0DC23B4EBDE9D4640,0,0,0.00042443002610772194,32
Norwood Young America,0101000020E6100000770F03CFC77A57C064D237B6CF624640,3,7,0.0009201162599380692,33
Donaldson,0101000020E6100000D609F4F43B3958C0365B7E7B4E494840,0,0,0.00019168242385546685,34
White Bear Lake,0101000020E6100000499F0FA3E33E57C0A69F036EF7864640,239,239,0.028200144411899664,35
White Bear Lake,0101000020E61000001A26498BFA4057C0242D98CF63884640,239,239,0.028200144411899664,36
Elrosa,0101000020E61000008EAF448398BC57C05F596A013FC84640,0,0,0.0005402182534905417,37
Trail,0101000020E61000006D85F183ACEC57C0A0792CB642E44740,0,0,0.0002662436388506593,38
Randall,0101000020E6100000548820CD0CA057C09B50D539590B4740,0,0,0.000292429186608034,39
Hoyt Lakes,0101000020E61000004814DC5A680757C095BA7696A2C74740,0,0,9.301155554926898e-05,40
Georgetown,0101000020E6100000B92B6B9DEF3258C02FD5F6E4088A4740,0,0,0.00016243037686158158,41
Lake Shore,0101000020E61000004A38F86E439757C014F26FE383404740,0,0,0.000446695816038072,42
Anoka,0101000020E61000005713E3B6E95857C013A5F26CDE9A4640,26,21,0.0027800014514643375,43
Coon Rapids,0101000020E61000004C23465BCC5357C0C8BB5BCA75964640,41,22,0.0035570447661491663,44
Wykoff,0101000020E61000001744E9EB1C1157C004824F40B5DA4540,1,0,0.0003313595423935151,45
Sebeka,0101000020E61000003C2DB4EE9FC557C0C862323388504740,0,0,0.00016758647155691025,46
Pennock,0101000020E6100000C45726C533CB57C0C61DF061AB924640,0,0,0.0003899359433242403,47
Maple Grove,0101000020E61000002C832B6A9A5D57C0A6754926F18D4640,24,25,0.0033997223074905933,48
North Saint Paul,0101000020E61000008B284023F73F57C05A12D765C0814640,43,41,0.004723204589161226,49
Odessa,0101000020E6100000933AAC97571558C0B01CC09B8EA14640,0,0,0.0002938051684789937,50
Laporte,0101000020E610000045F056D978B057C0C06044307C9B4740,0,0,7.708460950499618e-05,51
Dundee,0101000020E610000098371C6FDEDD57C097DA30610CEC4540,0,0,0.001070383154427979,52
Steen,0101000020E6100000739DB057D61058C0E5AC9DD1D4C14540,0,0,0.00019371922279259199,53
Stacy,0101000020E6100000404A1E819C3F57C0459EFAF527B14640,5,8,0.0008887118531936871,54
Fulda,0101000020E6100000EBFDDB218CE657C025BF48393FEF4540,0,0,0.00034743118989443653,55
Callaway,0101000020E6100000DA03BD6D5BFA57C05B0B94A4B27D4740,0,0,0.0001274313033228621,56
Millville,0101000020E6100000E1570E23F21257C07D40EE754A1F4640,0,0,0.0005658774674757606,57
Campbell,0101000020E61000006AE11CE2F31958C0CC17F25F7B0C4740,0,0,0.0002908251797863469,58
East Gull Lake,0101000020E6100000A8DC714DB59657C0B780144087324740,0,0,0.00037159787514477684,59
Hendrum,0101000020E610000071EB3E81E23358C0E8A4B934CFA14740,0,0,0.00023987191763916507,60
Princeton,0101000020E6100000903A3ECEA26557C0AB25C6DAD7C64640,2,0,0.0006462134230296654,61
Princeton,0101000020E610000090741986CE6557C0D0207E1C76C94640,2,0,0.0006462134230296654,62
Amboy,0101000020E6100000DC29EBE51F8A57C06C60BADAA8F14540,2,4,0.0004971445454145774,63
Lucan,0101000020E6100000D52F2D2875DA57C011C789FE7B344640,0,0,0.0005109288956192849,64
Winger,0101000020E61000004807568E1AFF57C0F2A81687A6C44740,0,0,0.00024020375764957606,65
Echo,0101000020E61000000FFB75007BDA57C0DE3393410D4F4640,0,0,0.0005527461967556404,66
Round Lake,0101000020E6100000767F4D4D13DE57C09400EAE8C6C44540,0,0,0.00013557281760187784,67
Perham,0101000020E6100000B85792C2F0E457C0285886BACF4C4740,0,0,0.0002489840417936241,68
Warba,0101000020E6100000AAB4784E035157C0A60FA32781914740,0,0,0.00011918869218580308,69
Medford,0101000020E6100000E59A8652D24F57C0224FD5A493154640,4,2,0.00042421523871189127,70
Cokato,0101000020E61000003A869620068C57C0111E7EE0E3894640,1,3,0.0005114980648868801,71
Westbrook,0101000020E610000092765B82FDDB57C00AE3783957054640,0,0,0.0003738229274077603,72
Faribault,0101000020E61000004476DF91D95157C0FEAE9F2258264640,4,3,0.0004859624260569025,73
Preston,0101000020E61000008A9191CD540557C04024C94017D64540,0,0,0.0003917179350387237,74
Calumet,0101000020E610000097351A880F5157C0403246B9E7A84740,0,0,0.0009225254512817331,75
Brook Park,0101000020E61000003920C839A94457C05DE43D1766F94640,0,0,0.00033952259402199726,76
Foxhome,0101000020E61000001ECB077AFC1358C0E4B580DB70234740,0,0,0.00019854648254376042,77
Fairmont,0101000020E6100000876519EE909D57C0B8C731976FD24540,0,0,0.0003572278487697988,78
Hollandale,0101000020E61000008B3EEF71154D57C0F829FFA343E14540,4,2,0.00047828462625547276,79
Brooks,0101000020E61000004AA70CF3390058C0F9A08B7583E84740,0,0,0.00018637889568419663,80
Burtrum,0101000020E6100000ED2906A5FDAB57C0CC46AF2CD3EE4640,0,0,0.0006487005122468808,81
Meire Grove,0101000020E61000009B038FE9A2B757C0A678F45F26D04640,0,0,0.0010202593138702633,82
Hugo,0101000020E610000056A6D8C35B3D57C05C359F3C62954640,12,24,0.001606543576679971,83
Foreston,0101000020E6100000E50DF265696D57C0D3D17762B4DD4640,2,1,0.000551036090202503,84
Fountain,0101000020E610000052F11B38970857C0D232C2B00BDF4540,0,0,0.0003485713512266847,85
Vermillion,0101000020E6100000DD313722B73D57C0548F3DD636564640,11,16,0.001073770228782143,86
West Concord,0101000020E6100000786DF12E913957C0A2381B4A92134640,1,0,0.0003102951141220943,87
Lake Henry,0101000020E61000001CF1145EF8B257C097E1FBF51EBB4640,1,0,0.0005714817166779404,88
East Bethel,0101000020E6100000E6DCC7560B4D57C075421ABB85AD4640,8,13,0.0009700737675743392,89
Buhl,0101000020E610000093EEEC033A3157C039529FFBEBBF4740,0,0,0.0003868031929881447,90
Proctor,0101000020E6100000D94A03C7990E57C02C6DE181D45E4740,0,0,0.00023128589399850467,91
Hayward,0101000020E61000005D360FFBBD4F57C02CD595F62DD34540,1,4,0.0004245724803950642,92
Wabasha,0101000020E6100000E7C8CA04B00257C0EBB27899712F4640,0,0,0.00031862427370362486,93
Pine Springs,0101000020E6100000C8055A95133D57C06004C2C8B6844640,66,71,0.006466274661835657,94
Nashua,0101000020E61000005774ADD1951358C0C05F6EDFD2044740,0,0,0.0007005173777070906,95
Ogilvie,0101000020E61000000CFF7AAD055B57C0584125551DEA4640,1,2,0.00027662785393719905,96
Milroy,0101000020E61000000BEA857C6DE357C00CB7B9A279354640,0,0,0.00043195124682765974,97
Caledonia,0101000020E6100000ADC5C5700FE056C0ED19A7E634D14540,0,0,0.00020747883394301914,98
Cyrus,0101000020E6100000BF6D6EC13EEF57C085D48D54B1CE4640,0,0,0.00031758974559107685,99
