"City","geom","Incoming","Outgoing","Risk"
"Janesville","0101000020E61000000A0FC5FB716D57C0072AEC7D6B0F4640",4,7,0.0011327655843444372
"Pillager","0101000020E61000000AECEA5EB29E57C0942C7FA0312A4740",0,0,0.0004947067778062489
"Harris","0101000020E6100000615E73F8283F57C03B22F84580CC4640",3,5,0.0005844959127911504
"Urbank","0101000020E6100000376FB30FABE057C08F9D351AE60F4740",2,2,0.00041262961632484454
"Windom","0101000020E610000007C19B9BB4C757C0AD75EF8AD8EF4540",2,4,0.0006972243198549123
"Adams","0101000020E61000001ACFDD6C052E57C00454D08A5DC84540",2,2,0.0005044859164167866
"Alberta","0101000020E61000000173303E390358C00225AA0E96C94640",2,0,0.000621525874571703
"Lake Benton","0101000020E61000003FC23BC6851258C019DF24D4CE214640",0,0,0.00021722380297140888
"Maplewood","0101000020E61000004C1E5AA8934157C0E200935CF07D4640",56,43,0.004566372312178613
"Winnebago","0101000020E6100000D7B8F08DE58A57C0AF716F2BDEE14540",4,10,0.0008025476132858387
"Barnum","0101000020E61000001FE915920E2C57C0553EC040AD404740",0,0,0.0002851557751584855
"Trimont","0101000020E6100000AD4FFB30D6AD57C088226FF169E14540",4,9,0.0007480642490489595
"Saint Rosa","0101000020E6100000897131C7D5AD57C0BB742F6244DD4640",5,6,0.0006979030733417004
"Babbitt","0101000020E61000003EE3735889FC56C05EFD5D587ED24740",0,0,6.42668268897474e-05
"Lexington","0101000020E6100000BFA5C7C0F64A57C090BC15DCAE914640",53,39,0.004613785818159833
"Forest Lake","0101000020E6100000B44F6D1B543D57C0DB7C65D973A04640",7,16,0.0018915978324934948
"Dennison","0101000020E6100000081A88FCEA4157C06D6524FE54344640",11,14,0.0014931187397028676
"Dennison","0101000020E6100000EE1CA3489D4257C0BB99F76F5B344640",11,14,0.0014931187397028676
"Badger","0101000020E61000004DF9D6B85D0158C090AE729F6C634840",0,0,0.00014162583067944736
"Deer Creek","0101000020E6100000B0B9B17397D457C0C9DE889409324740",0,0,0.0003412909021741601
"Chaska","0101000020E6100000D4B978FAFD6657C05D5131B079684640",35,26,0.002784272755335673
"Hutchinson","0101000020E6100000645E103E239857C069B4F9295B714640",7,8,0.0008675106916844814
"Blaine","0101000020E61000001C558A25664C57C0B2FAF95A8C8F4640",97,72,0.009523516985821524
"Blaine","0101000020E61000005DD2D7C24C4D57C0E14E2A1DBD954640",97,72,0.009523516985821524
"Buffalo Lake","0101000020E6100000BC1914B379A757C0455315144D5E4640",11,4,0.0008746774830379685
"Montgomery","0101000020E61000003336ABC6176557C04ED5B4E1FE384640",5,9,0.001038299357872646
"Sauk Centre","0101000020E610000067CA95D2F8BC57C002DA56094DDE4640",6,7,0.0007244486348020666
"Cook","0101000020E6100000A3450905142C57C0981AF845B3EB4740",0,0,8.946972929618913e-05
"Spring Lake Park","0101000020E6100000E9AF8A5FB84F57C00426772ADE8E4640",102,61,0.009821480561273696
"Spring Lake Park","0101000020E6100000CF76EFFA714E57C06B1C602E7F8E4640",102,61,0.009821480561273696
"Plummer","0101000020E610000006C75C47A80258C092CC87B223F54740",0,0,0.00027343415881307204
"Corcoran","0101000020E6100000DEB5BD9D5A6557C066EB433EF18D4640",31,32,0.0032030362736904833
"Saint Cloud","0101000020E6100000DAAF8471138C57C07033F8A0A7C34640",14,20,0.0025596691235781153
"Saint Cloud","0101000020E61000007DD6BD2F5E8757C088103DB7D6C84640",14,20,0.0025596691235781153
"Saint Cloud","0101000020E6100000D89294D2938657C0E1AFD8A4C4C54640",14,20,0.0025596691235781153
"Kasota","0101000020E6100000F9E82CF5FA7D57C05FDE02F64D254640",7,9,0.0015618600556012488
"Rockville","0101000020E6100000259459C89A9457C0107821DA8DBB4640",2,4,0.0006861789589089192
"Jordan","0101000020E6100000A17D2FE5BE6857C08BFF8A2DFE544640",15,15,0.001644677219493148
"Brandon","0101000020E61000001F310A7A0BE657C00885B574B0FB4640",1,0,0.0005371069699495456
"Buckman","0101000020E6100000399ECBFA038657C0127B598FDCF24640",1,4,0.0005889704229304179
"Stewartville","0101000020E61000006DBC1520591F57C040F8CC0B29EE4540",3,4,0.0007356053884204776
"Red Lake Falls","0101000020E610000026A1FD39721158C0B8F8099224F14740",0,0,0.00033460754957424435
"Lastrup","0101000020E61000009DBABF670F8457C0DE711685F5044740",0,0,0.0004966357224433455
"De Graff","0101000020E6100000264A70CBFCDD57C0EBC0EA3541A14640",0,0,0.0007543790270721542
"Marshall","0101000020E610000013011B1E88F257C098598E607D394640",0,0,0.0008946335306793546
"Akeley","0101000020E610000059EE5D8997AE57C0259AE47013804740",0,0,0.0002065644141353217
"Hoffman","0101000020E6100000898DFFE671F257C0ABA5285F97EA4640",0,0,0.0005073786274861729
"Brewster","0101000020E61000000B6D790DBCDD57C0CF7AA9343ED94540",2,1,0.00042122322964392787
"Lake Crystal","0101000020E610000084DA55C5FF8D57C0B96FF407830D4640",12,7,0.0010256454900987773
"Oslo","0101000020E6100000406F3225704858C056976A4400194840",0,0,0.00022673750852782073
"Utica","0101000020E61000008F672631C5FC56C08CE7FD4214FD4540",5,8,0.0006624833733988134
"Gully","0101000020E61000005CDF11F4DCE757C0F982A6255CE24740",0,0,0.00030551712980407016
"Morton","0101000020E6100000DC50E5B308BF57C0FEDA92E5D4464640",6,7,0.001057710347705242
"Clitherall","0101000020E61000004BF3C14062E857C090B4B5321E234740",1,0,0.000463420559959368
"Henriette","0101000020E6100000EA68D93DA84757C040DB724A86EF4640",3,3,0.0005496277212811522
"Holt","0101000020E61000004906872B720C58C06DB9B1637F254840",0,0,0.0002898762204423055
"Wabasso","0101000020E6100000C4BDB7BD58D057C0B1DCF3B585334640",3,13,0.0010469651622362136
"Grove City","0101000020E6100000E06F6644A4AB57C0EB0D7F0317934640",8,9,0.0008074442969359113
"Menahga","0101000020E6100000FB65F3007AC657C082C44717A25F4740",0,0,0.00027371692210995466
"Freeborn","0101000020E61000006F5D6E7D1E6457C00A327ADC0EE24540",8,4,0.0009139312470839308
"Dalton","0101000020E610000038CA8CDD97FA57C09195307342164740",1,1,0.00047884063998053793
"Heron Lake","0101000020E6100000A8C6C7FF78D457C097289F1226E64540",1,0,0.0005882382220529799
"International Falls","0101000020E6100000735903651C5A57C0BE4E7C353F4B4840",0,0,8.34860544864427e-05
