OID_,cities_GNIS_FEATU,cities_FEATURE_NA,cities_COUNTY_NAM,cities_POPULATION,cities_SHAPE_Leng,agg_elevation_RANGE,agg_elevation_MEAN,agg_elevation_STD,agg_elevation_MEDIAN,agg_weather_Join_Count,agg_weather_max_tmpf,agg_weather_min_tmpf,agg_weather_precip,agg_observations_Point_Count,agg_landcover_CLASS_1,agg_landcover_CLASS_2,agg_landcover_CLASS_3,Shape_Length,Shape_Area
13,2395628,Lanesboro,Fillmore,723,16514.257091399998899,345,966.762439807384339,100.428958313245573,968,1,70.239670546448096,51.969178480874319,0.000327868852459,0,1423,1151,1784,16514.257091421626683,3917219.601844135671854
14,2395444,Isle,Mille Lacs,820,22053.694076899999345,107,1274.783346099132359,18.782784083494551,1272,1,62.286498908333336,39.016999149999997,0.000166666666667,0,2097,715,6327,22053.694076927662536,8196271.696471140719950
15,2393586,Cohasset,Itasca,2677,39841.647432199999457,189,1295.103187497584713,24.480435448611175,1289,1,66.225573431693988,44.064919677595633,0.000163934426230,0,8861,7113,87404,39841.647432242971263,93076165.906021654605865
16,2393679,Crosby,Crow Wing,2392,13257.140387400000691,220,1248.335317278644425,26.229691378981340,1250,1,68.352129398907095,47.040328617486338,0.000109289617486,0,3369,339,7174,13257.140387411474876,9806246.179463490843773
17,2393792,Ceylon,Martin,301,7420.685204129999875,40,1258.449032258062743,6.202781558581214,1260,1,75.488947026315785,54.722633000000002,0.000000000000000,0,782,758,22,7420.685204131698811,1414276.404597346670926
18,2393762,Carver,Carver,5861,30005.757594099999551,294,802.792472740059225,99.114614331856586,796,1,71.169609932960896,51.600894849162010,0.000167597765363,2,4132,2650,7433,30005.757594141938171,12788462.793300682678819
19,2395318,Milaca,Mille Lacs,3034,28877.476949700001569,92,1073.812746756916795,17.562198417839319,1079,1,69.876721732240426,47.324591158469943,0.000437158469945,0,3784,2748,2313,28877.476949672713090,7928513.470959693193436
20,2396430,Roseau,Roseau,2729,27368.187170900000638,30,1048.114557539422776,4.729325477682464,1049,1,65.269508759562839,46.201310289617481,0.000601092896175,0,6035,1264,363,27368.187170875527954,6900393.663577561266720
21,2397075,Tyler,Lincoln,1121,16139.756150699999125,55,1732.794177941779253,14.624235241083429,1737,1,74.513157526315780,55.636838631578954,0.000000000000000,0,2305,1482,1078,16139.756150732602691,4393692.385575715452433
22,2394169,Bingham Lake,Cottonwood,139,7809.916857639999762,59,1414.500675980171081,13.625135643714502,1419,1,74.977368499999997,55.058947578947361,0.000000000000000,0,687,1336,206,7809.916857639134832,2004359.944759428035468
23,2395234,Nielsville,Polk,77,3650.904981459999817,15,866.266666666666993,2.493809328581471,865,1,74.333159184210530,49.436316947368425,0.000000000000000,0,239,264,9,3650.904981463309923,460183.807646587782074
24,2395842,Mapleton,Blue Earth,1701,10307.358530800000153,46,1023.718779790275676,11.734492841532548,1030,1,74.603156868421053,53.888944000000002,0.000000000000000,0,2329,1801,77,10307.358530754783715,3785022.932748217601329
25,2394288,Hanover,Wright,2943,18116.403300499998295,130,937.599776133326372,31.070889455904059,933,1,75.176317657894742,54.798421473684215,0.000000000000000,0,5437,6309,4281,18116.403300536927418,8977032.807443948462605
26,2396208,Pine Island,Olmsted,896,36305.930575699996552,197,1034.056769555537585,38.618557274385083,1020,1,72.893160736842106,53.329997710526321,0.000000000000000,0,5526,9585,2401,36305.930575696998858,7039002.755487837828696
27,2394130,Bemidji,Beltrami,15147,93922.494883199993637,121,1362.066124603696835,18.438193296116086,1362,1,67.254424972677597,48.720327459016396,0.000218579234973,0,27609,3193,35120,93922.494883190855035,59343922.350341156125069
28,2395840,Maple Lake,Wright,2182,15323.356611499999417,73,1033.178101503757944,14.291608660328766,1036,1,64.800193611650485,46.281168815533988,0.000776699029126,0,2875,3052,466,15323.356611526236520,5755240.200746308080852
29,2395278,Norwood Young America,Carver,3992,23510.634357399998407,71,988.245821325651150,13.489373706728710,985,1,71.529183147540991,51.450820103825137,0.000109289617486,0,3983,2207,740,23510.634357412705867,6245800.774620841257274
30,2394543,Donaldson,Kittson,20,6326.774709080000321,8,825.831205673758859,1.553268562484156,825,1,66.524590245901635,45.631802530054642,0.000327868852459,0,298,407,0,6326.774709079012609,626993.590041625429876
31,2397299,White Bear Lake,Washington,396,2891.817136170000140,159,950.753820439349170,31.317644478288884,939,1,73.463934398907099,54.988852519125679,0.000054644808743,0,21897,167,3075,2891.817136168685010,207980.428245670336764
